№,Номер лицензии  ,Название объекта,Недропользователь,"Месторасположение объекта, область, район", № и срок действия ЛС,Вид полезного ископаемого,Целевое назначение работ,"Размер площади, га",Номенклатура топографической карты 1:100000 масштаба,"Основание выдачи лицензии, № протокола, дата составления","Адрес, телефон, факс недропользователя, ФИО руководителя ",Сведения об учредителях,"Дата оплаты бонуса, номер платежного документа","Размер бонуса, тыс. сом",Сведения о наличии рекультивационного счета ,Сведения об оплате за лицензию,ИНН,координаты Х,координаты У,Страны,Статус ,        Руководитель                                                   ,Телефон ,Айыльный аймак ,примечание,Информация о бенефициарах (зеленый есть;синий ОсОО; красный нету),,,,,,
1,НМ 11-02   от 02.09.2022 г. 21.12.2041 г до Бланк №000232,Месторождение Сары-Таш,"ОсОО ""Горнодобывающая  компания Орион"""," Ошская обл., Узгенский р-н",№5 13.03.2023 г до 21.12.2041 г ,известняк-ракушечник,ЕП,"5,7 га",К-43-123,Протокол №15-Н-2023 от 01.03.2023г,"г.Нарын, Нарынский район,ул. Ленина,189;","ОсОО Строительная Компания ""Орион""-100%",,,,1299005950003055   №100100068  06.09.2022г,ИНН 02109200110136,4492992   4493120   4493140   4493180   4493046,13363388   13363416   13363520   13663844   13663806,Кыргызстан,ТЕ,Мурзабаев К.С.,550-666330,Жалпак-Ташский а/а,,,,,,,,
2,Нg-18-97 пер.16.12.02г. 23.12.2023г до 31.12.2041г бланк №000348,"Участки Восточная Вершина, Северо-Восточный, Кара-Арча, Юго-Западный, Промежуточный, Заводской, Южная Плавиковая гора месторождения Хайдаркан","ОАО ""Хайдарканское ртутное акционерное общество""","Баткенская область, Кадамжайский район",№ 4 от 09.01.2023г до 31.12.2041г ,Ртуть,ЕР,499 га,J-42-11,Протокол переговоров №181-Н-02 от 10.11.02г ЛС №4 протокол №18-Н-2022 от 27.06.2022г ,"КР Баткенская область, г. Айдаркен,ул.Кыргызстана,20",Акционером  является ФУГИ при Министерстве экономики и коммерции КР ,,,,Перв. РОК 1299002790025971 кв 201003 от 08.12.10 г.,ИНН 00109199510030,12696421   12697371   12698640   12698659   12700267   12700351  12700696   12702158   12701520   12701153   12702092   12702405   12703133   12703932   12703331  12702614   12702214   12700797   12700392   12699995   12698879   12698338   12697802   12696918   12696474,4427853   4427700   4427904   4427545   4427261   4426693   4426505   4427375   4428568   4428456   4428957   4428127   4428182   4427928   4427358   4427714   4427271   4426450   4426360   4426566   4426735   4426752   4426934   4427025   4427300,Кыргызстан,МЕ,Салиев Тулибой Жанивалиевич ,0(9963655)6-0-48,,,Бенефициары ,,,,,,
3,Нg-19-97 от 16.12.02 г. до 31.12.41 г. Бланк №000349,"Месторождение ""Новое""и участок Ишме-Северный Хайдарканского месторождения","ОАО ""Хайдарканское ртутное акционерное общество""","Баткенская обл., Кадамжайский р-н",№ 4 от 09.01.23г до 31.12.41г,"ртуть, сурьма, флюорит",Е,185 га,J-42-11,Протокол №18-Н-2022 от 27.06.2022г,"КР, Баткенская обл., г. Айдаркен,ул. Кыргызстана,20",Фонд по управлению государственным имуществом при Министерстве экономики и коммерции КР;,,,,кв нет,ИНН 00109199510030,12696418  12696803  12697143  12697351  12696755  12696165  12695584  12695261  12695029  12694906  12694910  12695074  12695212  12695619  12696195  12696426,4427856  4427796  4428138  4428622  4428833  4428681  4428794  4428268  4428192  4428188  4428058  4427889  4427946  4427657  4427806  4427779,Кыргызстан,МЕ,2,,,,В деле нет Бенеф.,,,,,,
4,НМ 20-98 (3024 ТЕ) пер. 02.04.1998 г. от  23.07.2021 г.    до 03.05.2031 г. № 00138,Каиндинское месторождение,"ОАО ""Кыргыз Тоо-Таш"""," Таласская обл., Манасский р-н",№ 8 от 19.09.2022 г. до 03.05.2031 г.,гранодиориты,ЕР,"3,67 га",К-43-123,Протокол 07.09.22        №35-Н-2022,"Чуйская область, г. Токмок, Промзона","Реестр акционеров на 05.03.15 г. Заверенный ОсОО ""Алгоритм Софт""-485 акцион-в ",нет,нет,,1290095950003052  №265900036  от 23.07.2021 г,ИНН 00404199810056,12731171  12731246 12731310 12731178 12731121    12731098,4735265  4735225 4735154   4734967 4735016 4735158,Кыргызстан,ТЕ,Мордовкин И.А.,313855640; 502 970030,Каиндинский а/а,,,,,,,,
5,НМ 23-04  от 13.02.2009г от 29.03.2024г до 02.04.2029г бланк №000405,"Центральная часть Западного участка месторождения ""Кольцо-Половинка"" ","ОсОО ""Нур""","Баткенская область, Лейлекский район",№ 5 от 13.10.2025гг до 02.04.2029г ,Кварцевый песок,ЕР,3 га,J-42-8,Протокол переговоров №108-Н-03;180-Н-03 от 14.08.2003г;21-Н-04 ЛС №3          Протокол №50-Н-2025 от 19.09.2025г,"Баткенская область, г. Сулюкта, ул. Джолбаева б/н",гр КР Абдыназаров Р.Э. - 100%,нет,нет,"ОАО Элдик Банк № счета 1290503130411927 остаток на 22.07.2025 года составляет 143 000,00 сом",Перв. РОК 1299002790025971 кв 79000119 от 18.04.14 г.,ИНН 00504200210100,12546949  12547000  12547292  12547292  12547014  12546948,4426621  4426634  4426632  4426527  4426545  4426597,Кыргызстан,ТЕ,Абдыназаров Р.Э.,3656-6 00 19  3656-6 03 09; 772777773,г.Сулукту,,Бенефициары ,Абдыназаров Рахманберды Эрматович,нет,нет,нет,100%,
6,НМ 31-98 (3023 ТЕ) пер. 16.04.1998  г.  от 29.01.2021 г. до 31.12.2030 г. Бланк № 003458,Месторождение Токмакское (Шамсинское),"ОАО ""Кыргыз Тоо-Таш""","Чуйская область, Чуйский район",№ 7 от 26.08.2024г до 31.12.2030г,ПГМ,ЕР,"58,8 га",К-43-43, №7 Л/С Проткол №48-Н-2024 от 23.07.2024г.,"Чуйская область, г. Токмок, Промзона","Реестр акционеров на 01.08.24г ОсОО""СККР Реестр""- 483 акционеров",нет,нет,, 109092200000129 №27 от 02.02.2021 г.,ИНН 00404199810056,4739731   4738707   4738707   4739731,13526536   13526536   13527110   13527110,Кыргызстан,ТЕ,Мордовкин И.А.,552970030; 557 855870 ,"г.Токмок, промзона",,Бенефициары,,,,,,
7,НМ-37-03    14.03.03         14.03.08,Участок №2 м-я Чил-Устун. Бутовый камень),"ГП ""Ошский передвижной механизированный отряд по ремонтно-восстановительным работам""",,,,Е,,,,"г. Ош. Нокатское шосе, 6 км., нач. Калыбеков Ж.",,,,,,,,,,Аннулирована,,,,,,,,,,,
8,ГГ-45-01        21.05.01     28.05.08,Жалал-Абадс. М-е ТМВ. Скв.27-рэ ,"ОсОО ""Алтын-Суу""",,,Вода,Р,,,,,,,,,,,,,,Аннулирована,,,,,,,,,,,
9,                   НМ-45-98       31.10.07г.-    31.12.17г.       Бл.№00150,"Ю-В часть уч. Башкарасу Северо-Орокского м-я, Чуйская обл..         Аламудунский р-н","ОАО ""Бишкекстрой-материалы""",,№1 до 31.12.2007г.,суглинок,Е,,,Протокол переговоров       №510-Н-07 от 31.10.07г.    ,"г. Бишкек, ул. Алымкулова, 3. Директор Куценко Е.Д.",,,,,Перв.РОК       1299002790025971       кв.№3032 от 29.10.07г.          ,,,,,Аннулирована.протокол №147-АН-10             12.03.10г.,,,,,,,,,,,
10,НМ 45-98 пер. 27.05.98 г.от 02.03.2017г до 02.03.2027 г. бланк №000616,Юго-Восточная часть участка Башкарасу-Северный Орокского месторождения,"ОсОО ""Илина групп""","Чуйская область, Аламединский район",№ 17 от 01.07.2024г до 02.03.2027г ,Суглинок,ЕР,"18,7 га",К-43-42,Протокол переговоров №114-Н-03 от 28.05.2003г ЛС №17 Протокол  №35-Н-2024 от 05.06.2024г ,"Чуйская область, Аламудунский район, с. Байтик, ул. Байтик 1","гр. КР Колесникова Ю.А. - 81%, гр. КНР Лян Шицзе - 19%",1290045030000572 код.пл.114.41390 от 29.05.2017г ,18000 сом ,,Перв. РОК 1290525000003231 кв 69900064 от 03.03.17 г.  ,ИНН 01509201410091,"13461800,00    13461832.00    13462406.52    13462404,57  13462424.45   13462472.06 13462326,00  13462121.47  13462134.00",4738600.00 4738474.00  4738297.35  4738334.35  4738414.69  4738683.25  4738726.00 4738792.84  4738654.00,Кыргызстан\КНР,ТЕ,Санг Пинг,"0558-998088,0772-396031, 0772-277225,0555-029191",Байтикский а/а,,Бенефициары ,,,,,,
11,ГГ-48-00        26.04.02     26.04.10, Скв.№3-Д,"АО ""Востокэлектро""",Ак-Суйское МТМВ,,минераль ная вода,Е,,,,"722360, г. Каракол, ул. Фучика, 24, тел.22412, ф. 26913, директор Абдыкасымов Р.А.",,,,,,,,,,Аннулирована,,,,,,,,,,,
